PCODE3,in1SD_Instability_DA16,in1SD_Deprivation_DA16,in1SD_Dependency_DA16,in1SD_Ethniccon_DA16,in1SD_Instability_q_DA16,in1SD_Deprivation_q_DA16,in1SD_Dependency_q_DA16,in1SD_Ethniccon_q_DA16
L5E,1,0.952380952,0.952380952,0.952380952,1,1,1,0.952380952
L5G,1,0.972972973,0.972972973,0.918918919,1,1,0.918918919,0.945945946
L5K,0.925925926,0.962962963,0.925925926,1,1,1,1,0.962962963
L5R,0.930232558,0.953488372,0.953488372,0.953488372,1,0.930232558,0.953488372,1
L6B,0.875,1,0.875,0.875,0.875,1,0.875,0.875
L7J,0.933333333,0.966666667,0.966666667,0.966666667,0.933333333,0.966666667,0.966666667,1
L6J,0.941176471,0.960784314,0.960784314,0.941176471,0.901960784,0.960784314,1,0.960784314
L6W,0.967741935,0.967741935,0.967741935,1,1,1,1,1
L7B,0.952380952,1,0.952380952,0.952380952,0.952380952,0.952380952,0.952380952,0.952380952
L7C,0.939393939,0.939393939,0.909090909,0.939393939,0.96969697,0.909090909,0.939393939,0.909090909
L7P,0.947368421,0.947368421,0.964912281,0.929824561,0.964912281,0.98245614,1,0.912280702
L9C,0.916666667,0.972222222,0.972222222,0.944444444,1,1,1,0.972222222
L9H,0.918918919,0.945945946,0.945945946,0.945945946,1,0.918918919,0.945945946,0.986486486
L9R,0.897435897,0.897435897,0.923076923,0.948717949,1,0.897435897,1,1
L9S,0.9375,0.958333333,0.916666667,0.916666667,1,0.895833333,0.916666667,1
L9T,0.959016393,0.926229508,0.959016393,0.975409836,0.959016393,0.942622951,0.868852459,0.926229508
L9W,0.92,0.946666667,0.973333333,0.973333333,0.893333333,0.92,0.946666667,1
L9X,0.947368421,0.894736842,0.947368421,0.947368421,0.947368421,1,0.947368421,1
L9Y,0.977272727,0.977272727,1,0.977272727,0.954545455,1,0.977272727,0.977272727
M1B,0.943181818,0.965909091,0.977272727,0.943181818,0.920454545,0.977272727,1,0.977272727
M1C,0.93220339,0.93220339,0.93220339,0.983050847,1,0.983050847,0.93220339,0.93220339
M1E,0.969230769,0.969230769,0.953846154,0.984615385,0.923076923,0.938461538,1,0.969230769
M1H,1,0.941176471,0.970588235,0.941176471,0.970588235,0.970588235,1,0.764705882
M1J,1,0.975,0.925,0.9,0.925,0.95,1,0.875
M1K,1,0.93442623,0.950819672,0.950819672,0.967213115,0.901639344,0.93442623,0.819672131
M1L,0.976744186,0.953488372,0.976744186,0.976744186,1,1,0.976744186,1
M1M,0.947368421,0.921052632,0.947368421,0.973684211,1,1,1,0.973684211
M1P,0.924528302,0.924528302,0.981132075,0.981132075,1,0.924528302,1,0.811320755
M1R,0.961538462,0.961538462,0.980769231,0.980769231,1,0.980769231,1,0.961538462
M1S,0.948275862,0.965517241,0.982758621,0.931034483,1,1,0.948275862,0.948275862
M1T,1,0.955555556,0.977777778,0.977777778,0.933333333,0.933333333,0.955555556,0.822222222
M1V,0.958333333,0.930555556,0.986111111,0.958333333,0.958333333,0.958333333,0.972222222,0.958333333
M1W,0.956521739,0.942028986,0.985507246,0.956521739,1,0.942028986,0.869565217,0.826086957
M1X,0.933333333,1,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,1
M2H,0.973684211,0.921052632,0.947368421,0.973684211,1,1,0.973684211,0.947368421
M2J,0.985294118,0.955882353,0.970588235,0.970588235,0.955882353,1,1,0.970588235
M2K,1,0.935483871,0.967741935,0.935483871,0.935483871,0.903225806,1,0.806451613
M2L,0.954545455,1,0.909090909,1,1,1,0.954545455,1
M2M,0.958333333,0.958333333,0.9375,0.958333333,0.9375,0.875,0.958333333,0.833333333
M2N,1,0.987804878,0.926829268,0.951219512,0.853658537,0.914634146,0.902439024,0.963414634
M2P,0.923076923,0.923076923,0.923076923,1,1,0.923076923,0.923076923,1
M2R,0.979591837,0.93877551,0.93877551,0.979591837,0.897959184,0.959183673,1,0.93877551
M3A,1,0.978723404,0.957446809,0.957446809,1,1,1,0.872340426
M3B,0.954545455,0.954545455,0.909090909,1,0.954545455,0.954545455,0.954545455,0.909090909
M3C,0.967741935,0.935483871,0.967741935,1,0.967741935,1,1,0.967741935
M3H,1,0.945454545,0.945454545,0.981818182,0.872727273,0.963636364,0.927272727,0.872727273
M3J,0.971428571,0.914285714,0.942857143,0.942857143,0.885714286,0.914285714,1,0.971428571
M3K,0.916666667,0.916666667,0.916666667,0.916666667,0.916666667,0.916666667,1,0.916666667
M3L,0.916666667,0.958333333,0.958333333,0.958333333,1,0.958333333,1,1
M3M,0.947368421,0.973684211,0.947368421,1,0.947368421,0.973684211,1,1
M3N,0.925,0.95,0.925,0.975,0.925,0.95,1,0.925
M4A,1,0.95,0.95,0.95,0.85,0.9,1,0.9
M4B,1,1,0.928571429,0.928571429,0.928571429,1,0.928571429,0.928571429
M4C,0.969230769,0.953846154,0.984615385,0.953846154,1,0.953846154,0.969230769,0.892307692
M4E,0.953488372,0.953488372,0.953488372,0.953488372,0.953488372,0.930232558,0.930232558,0.953488372
M4G,0.96875,0.96875,0.9375,0.9375,1,0.90625,0.9375,0.90625
M4H,0.9,1,0.9,1,0.9,1,0.9,0.9
M4J,0.96969697,0.954545455,0.954545455,0.96969697,0.909090909,0.954545455,0.939393939,0.939393939
M4K,0.982142857,0.964285714,0.928571429,0.964285714,0.982142857,1,0.910714286,0.982142857
M4L,0.969230769,0.938461538,0.953846154,0.938461538,0.984615385,1,0.938461538,0.876923077
M4M,0.951219512,0.926829268,0.926829268,1,0.975609756,1,0.926829268,0.975609756
M4N,0.967741935,0.903225806,0.935483871,0.935483871,1,0.903225806,1,0.935483871
M4P,1,0.923076923,0.923076923,0.961538462,0.923076923,0.923076923,0.884615385,0.961538462
M4R,1,0.944444444,0.944444444,0.888888889,1,0.888888889,0.944444444,0.944444444
M4S,1,0.967741935,0.967741935,0.935483871,0.903225806,0.903225806,0.967741935,0.935483871
M4T,1,0.952380952,0.952380952,0.952380952,1,0.952380952,1,0.904761905
M4V,0.962962963,0.962962963,0.962962963,0.962962963,0.962962963,0.888888889,1,1
M4W,1,0.916666667,0.958333333,0.958333333,0.958333333,0.875,1,0.958333333
M4X,1,1,0.941176471,1,0.823529412,1,0.882352941,0.823529412
M4Y,0.941176471,0.911764706,0.941176471,0.970588235,0.970588235,0.911764706,0.941176471,0.941176471
M5A,0.956521739,0.934782609,0.934782609,0.956521739,0.934782609,1,0.934782609,0.934782609
M5B,0.944444444,0.944444444,0.944444444,0.944444444,1,1,0.833333333,0.944444444
M5C,1,1,1,1,1,1,1,1
M5E,0.916666667,0.916666667,0.916666667,0.916666667,1,0.916666667,0.916666667,0.916666667
M5M,0.931818182,0.954545455,0.931818182,0.954545455,1,0.954545455,0.931818182,0.977272727
M5N,1,0.931034483,0.965517241,0.931034483,1,1,0.931034483,0.965517241
M5P,0.942857143,0.942857143,0.942857143,0.942857143,0.914285714,0.942857143,0.885714286,0.942857143
M5R,0.978723404,0.957446809,0.957446809,0.936170213,0.914893617,0.957446809,1,0.957446809
M5S,0.909090909,0.954545455,0.954545455,0.954545455,0.909090909,0.954545455,1,0.954545455
M5T,0.935483871,0.903225806,0.935483871,0.935483871,0.935483871,1,1,0.967741935
M5V,0.96,0.88,0.92,1,1,0.84,0.92,0.96
M6A,0.971428571,0.914285714,0.971428571,0.971428571,0.942857143,0.942857143,1,0.971428571
M6B,0.980769231,0.961538462,0.942307692,0.961538462,0.846153846,1,1,0.980769231
M6C,1,0.977272727,0.931818182,0.954545455,0.931818182,1,0.931818182,0.954545455
M6E,0.949367089,0.936708861,0.974683544,0.974683544,0.936708861,0.974683544,0.962025316,1
M6G,0.968253968,0.952380952,0.952380952,0.952380952,0.984126984,1,0.904761905,0.968253968
M6H,0.966666667,0.955555556,0.966666667,0.955555556,0.988888889,0.933333333,0.944444444,0.955555556
M6J,0.936507937,0.936507937,0.968253968,0.952380952,0.857142857,1,0.968253968,0.904761905
M6K,0.965517241,0.931034483,0.965517241,0.965517241,0.862068966,1,0.948275862,0.948275862
M6L,1,0.967741935,0.967741935,0.967741935,0.935483871,0.935483871,1,0.967741935
