Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3,2016_standard_derivation.SD_Instability_DA16,2016_standard_derivation.SD_Deprivation_DA16,2016_standard_derivation.SD_Dependency_DA16,2016_standard_derivation.SD_Ethniccon_DA16,2016_standard_derivation.SD_Instability_q_DA16,2016_standard_derivation.SD_Deprivation_q_DA16,2016_standard_derivation.SD_Dependency_q_DA16,2016_standard_derivation.SD_Ethniccon_q_DA16,2016_standard_derivation.PCODE3,2016_standard_derivation.count
1018.021277,0.5767588,-0.084857785,-0.150761159,0.245005868,3.70212766,2.765957447,2.85106383,3.489361702,K2C,1.223521241,1.232960572,0.912983829,0.886026759,1.06147751,1.447828448,1.413886463,1.213552823,K2C,47
596.4819277,-0.322471844,-0.447705628,-0.336524944,0.282130019,2.662650602,2.325301205,2.614457831,3.734939759,K2G,0.782188198,0.64769824,0.901899705,0.683339425,1.363971143,1.250448054,1.599018947,0.925048942,K2G,83
620.6060606,0.292691308,-0.219483891,0.310616116,0.31103678,3.393939394,2.696969697,3.575757576,3.454545455,K2E,1.069394212,0.784623427,1.071189417,1.062854194,1.321443196,1.446652353,1.620769552,1.092328622,K2E,33
676.1204819,0.145223591,0.006663495,-0.1915213,0.496215375,3.361445783,2.662650602,2.722891566,3.578313253,K1V,0.947629602,1.388537265,1.139635476,1.259447914,1.348696871,1.540328666,1.632843196,1.148917645,K1V,83
841.2291667,0.048964429,-0.274559927,0.245009039,-0.149064537,3.3125,2.520833333,3.479166667,2.916666667,K2H,0.710840342,0.910339655,1.043152725,0.759123857,1.169765388,1.383636641,1.501624416,1.145450452,K2H,48
776.6904762,0.961935541,0.5585208,0.155914191,0.383095429,4.261904762,3.571428571,3.023809524,3.452380952,K2B,1.095945653,1.553552693,1.132489628,1.182747027,0.91223456,1.150670158,1.456492533,1.213790293,K2B,42
903.3797468,-0.661793589,-0.759977297,-0.710814771,0.099838491,1.898734177,1.721518987,1.835443038,3.544303797,K2J,0.370335672,0.421402591,0.702582359,0.616112122,0.87111683,0.904925395,1.224015876,0.944586035,K2J,79
1412.864865,-0.203866792,0.055239285,-0.632855727,0.809587459,2.864864865,3.189189189,1.918918919,4.378378378,K1T,0.676531932,0.901370367,0.50604945,0.886062804,1.134366249,1.506243263,0.982581022,0.720777025,K1T,37
590.1666667,0.094053147,-0.434509999,0.391474556,-0.090364344,2.966666667,2.266666667,3.766666667,3.133333333,K1H,1.124563961,0.834891104,0.76809577,0.653984298,1.425949976,1.311312407,1.006301982,0.973204211,K1H,30
728.1020408,0.295944617,0.086903681,0.01395415,0.321482135,3.428571429,2.897959184,3.020408163,3.530612245,K1G,1.076742574,1.289800854,0.977667797,1.014676711,1.136515141,1.503397513,1.361521758,1.292640076,K1G,49
