DAUID,Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16
35202509,520,-0.266427049,-0.307875916,0.849780908,1.18688386,3,3,5,5
35202510,942,1.667586905,0.494523691,-0.893238601,2.496824375,5,4,1,5
35202511,699,0.160559649,0.013459612,0.549420444,1.13603125,4,3,4,5
35202512,499,0.186849592,-0.092854825,0.222751673,1.739707031,4,3,4,5
35202513,446,-0.444799704,-0.241505281,0.425756771,0.73260208,3,3,4,4
35202514,467,-0.404180788,-0.406956652,0.648114849,0.672492505,3,3,5,4
35202515,552,-0.055422472,0.025786861,0.579657585,0.834353128,4,4,4,5
35202516,489,-0.034202961,0.144143585,0.085557141,0.956985944,4,4,4,5
35202517,518,-0.204801656,0.072853201,0.234612117,1.400685566,3,4,4,5
35202522,508,-0.121168497,-0.142719602,-0.513083674,2.030700286,3,3,2,5
35202523,511,0.326957549,0.383195505,-0.146016081,1.356849177,4,4,3,5
35202529,1006,1.933837271,0.44844886,-0.176607244,3.074399526,5,4,3,5
35202534,1003,-0.061660479,-0.728267786,-0.068405679,0.50274049,4,2,3,4
35202535,513,-0.288032318,-0.552321772,0.214155773,1.41802738,3,2,4,5
35202547,837,1.08802491,-0.134015171,-0.419197543,1.813102857,5,3,2,5
35202548,479,0.385870658,0.034485061,-0.531566214,0.905756677,4,4,2,5
35202549,468,-3.10E-05,0.091480299,-0.396717075,0.880870887,4,4,2,5
35202550,534,1.648520792,0.02253366,-1.339738604,4.560135445,5,4,1,5
35202551,464,1.990222457,-0.271436379,1.635246286,0.395045618,5,3,5,4
35202553,1000,1.532511457,0.742197765,-0.780118479,2.909895582,5,5,1,5
35202554,970,1.577762219,0.597802199,-0.796909569,2.815386267,5,4,1,5
35202555,863,1.753984759,0.922002458,-0.247301551,4.100614269,5,5,3,5
35202560,416,0.712381697,0.057478466,-1.026011059,1.933855353,4,4,1,5
35202564,615,-0.133965216,-0.847724154,1.021693919,0.296875195,3,1,5,4
35202565,680,-0.11805043,-0.618653035,0.098265113,-0.171612871,3,2,4,3
35202566,852,0.035173501,-0.327396457,-0.243106001,0.467937136,4,3,3,4
35202567,779,-0.435662477,-0.311288627,0.035002256,0.037713491,3,3,3,4
35202568,925,0.540618542,-0.961915578,-0.065768118,0.805005076,4,1,3,5
35202569,825,0.857985868,-0.424009128,-0.302707456,1.955014284,5,2,3,5
35202570,586,-0.636469941,-0.600015098,-0.488955336,-0.399474012,2,2,2,3
35202571,653,0.830549712,-0.502416769,0.480203171,0.516968732,5,2,4,4
35202572,664,-0.231606621,-0.50798583,-0.363627903,0.954146125,3,2,2,5
35202573,608,-0.448872803,-0.758745829,-0.022863656,-0.276220894,3,2,3,3
35202574,466,-0.383659204,-0.51610676,-0.064606467,-0.041733593,3,2,3,4
35202575,561,-0.394200671,-0.444088395,0.330190749,0.68595674,3,2,4,4
35202576,565,-0.12716477,-0.578292862,-0.39533945,0.634985668,3,2,2,4
35202577,514,-0.8604165,-0.62499728,-0.244200534,0.364308574,1,2,3,4
35202583,663,0.146852656,-0.837512755,-0.157911588,0.935831541,4,1,3,5
35202584,431,-0.192499917,-0.271315572,0.226261227,1.150781309,3,3,4,5
35202585,636,0.027044591,-0.041976221,0.777033474,1.127022606,4,3,5,5
35202586,521,-0.26888167,0.161500645,0.193402945,1.196549011,3,4,4,5
35202587,617,-0.110785425,0.03383822,0.405834396,1.317111671,3,4,4,5
35202588,325,-0.34331218,-0.43952904,0.35948923,0.502471328,3,2,4,4
35202589,1025,1.710283514,-0.199449386,3.101603975,0.14345327,5,3,5,4
35202590,411,-0.211295182,-0.485123675,0.297114726,0.850413718,3,2,4,5
35202591,916,1.234936427,0.772682129,-0.807531841,3.1997545,5,5,1,5
35202592,439,-0.584439779,-1.304076358,0.71910754,-0.526261353,2,1,5,2
35202593,468,-0.502448571,0.308916842,0.173184471,0.537165259,2,4,4,4
35202594,349,-0.758701273,-1.031808606,0.761634367,-0.610670279,2,1,5,2
35202597,503,-0.632424774,-0.688488385,-0.276475477,0.256078842,2,2,3,4
35202598,361,-0.716094403,-0.815435462,-0.811250394,0.243445711,2,1,1,4
35202599,585,-0.44651353,-0.686356988,-0.482156952,0.221614809,3,2,2,4
35202600,453,-0.710975914,-0.835740465,-0.768811264,0.433602181,2,1,1,4
35202605,551,2.171574098,0.130342045,1.241309498,0.072831398,5,4,5,4
35202606,627,-0.404308277,-0.939965515,-0.24515987,0.741765839,3,1,3,4
35202608,806,-0.095255351,-1.203000296,-0.152472846,0.207992001,3,1,3,4
35202611,421,-0.686877601,-0.762082682,-0.325343958,0.405300755,2,2,2,4
35202612,682,-0.513729233,-1.041759649,0.307426926,1.386815812,2,1,4,5
35202613,650,-0.659932932,-0.837879364,-0.144891016,1.082835499,2,1,3,5
35202614,485,-0.77799207,-1.076006498,0.163988833,0.733282558,1,1,4,4
35202615,436,-0.685185358,-0.924226758,-0.21041986,0.526575951,2,1,3,4
35202616,550,-0.904458417,-0.999399359,-0.255052221,0.745625729,1,1,3,4
35202617,539,-0.826206208,-0.773757055,0.104612468,0.92769084,1,2,4,5
35202618,676,1.952059003,0.249080537,-1.307319161,1.372359636,5,4,1,5
35202619,616,-0.267514014,-0.486469459,-0.149336662,1.175697919,3,2,3,5
35202620,1876,1.352227131,-1.022993833,0.564147311,0.76753966,5,1,4,5
35202621,481,-0.614627758,-0.662164246,0.249182366,1.461825835,2,2,4,5
35202622,437,-0.566036213,-1.084350411,0.025137305,0.418581065,2,1,3,4
35202623,237,-1.125443263,-0.412328824,0.016240459,0.660059818,1,3,3,4
35202627,394,0.225800319,-1.004108848,-0.204645013,1.381421443,4,1,3,5
35202628,1647,1.485512093,-0.965018151,-0.116626674,1.648851665,5,1,3,5
35202629,452,-0.366183838,-1.065325703,0.206474477,-0.024009213,3,1,4,4
35202630,536,-0.234562271,-1.033389689,0.488708665,0.447198816,3,1,4,4
35202636,488,-1.076059137,-1.12374448,-0.12393894,-0.171629419,1,1,3,3
35202637,528,-0.795294892,-0.932473643,-1.1599532,0.00389369,1,1,1,4
35202638,523,-0.762102289,-0.881994687,-0.889759742,-0.088783163,2,1,1,3
35202639,469,-1.008269339,-0.900057428,-0.741105641,-0.208586538,1,1,1,3
35202640,905,0.908429452,-0.448649249,-0.998837596,0.049885423,5,2,1,4
35202641,735,-0.627366085,-0.483599522,0.189961643,0.488941858,2,2,4,4
35202642,502,-0.998214696,-1.220144239,-0.674846818,0.074468543,1,1,2,4
35202643,503,-1.008328186,-0.791515758,-0.694772489,-0.100165145,1,1,2,3
35202644,515,-0.723077498,-0.694226596,-0.545667144,-0.111686116,2,2,2,3
35202645,436,0.010459417,-1.331225917,-0.533566174,-0.423566617,4,1,2,3
35202646,615,-0.09362146,-0.710389502,-0.935477089,0.388684671,3,2,1,4
35202647,699,0.495291403,-1.276788097,-0.456230278,-0.166644737,4,1,2,3
35202648,573,0.945729417,-0.88940059,-0.19248691,-0.106950988,5,1,3,3
35202649,701,0.436913671,-0.607556572,-0.368055923,0.489983849,4,2,2,4
35202650,795,1.011208924,-0.356269865,-1.032590224,0.087026956,5,3,1,4
35202653,353,-0.411909287,-1.726352876,0.13268603,-0.228910348,3,1,4,3
35202654,1355,3.311025405,-0.834651938,0.010140109,0.36751738,5,1,3,4
35202655,904,2.981076322,-0.846157769,-0.814776079,0.260823542,5,1,1,4
35202656,727,3.090491399,-0.172470142,-0.844138597,0.705465856,5,3,1,4
35202657,537,3.166591073,0.111873859,-1.051709223,2.550841867,5,4,1,5
35202666,2063,2.74862175,-1.134517296,-0.731709344,0.538212001,5,1,1,4
35202669,1051,3.250828695,-1.251479001,-0.283891235,1.602118201,5,1,3,5
35202670,801,3.128688169,-0.117862857,-0.98030299,1.154147294,5,3,1,5
35202671,2297,2.459082939,-1.301470624,-0.587913514,0.72783723,5,1,2,4
35202672,436,0.127639546,-1.495621636,0.018839952,-0.202057507,4,1,3,3
35202673,1200,2.37348309,-1.553033279,-0.574845189,0.263045251,5,1,2,4
35202674,1289,3.105524761,-1.481230892,0.564729384,-0.129455397,5,1,4,3
35202675,556,-0.075373481,-0.970613366,-0.701898258,-0.11217161,4,1,2,3
35202676,688,-0.519703017,-1.358281569,-0.769689368,0.038260817,2,1,1,4
35202677,525,-0.888549604,-0.813799569,-0.480779566,-0.105316213,1,1,2,3
35202678,439,-0.799519851,-1.246200682,-0.961645756,-0.231013529,1,1,1,3
35202679,592,-1.183365685,-0.967126146,-0.976301349,-0.263353759,1,1,1,3
35202680,450,-0.222864821,-0.802414953,0.285629861,-0.472374076,3,1,4,3
35202681,474,-0.608622513,-0.74128278,-1.213782184,-0.066241665,2,2,1,4
35202682,711,0.544135718,-0.725543458,-0.875753772,0.120533918,4,2,1,4
35202683,466,0.948492529,-0.452344516,-0.187748358,-0.757624753,5,2,3,2
35202684,567,0.726146006,-0.756096369,-0.426325183,-0.322326433,4,2,2,3
35202685,515,-0.893052857,-1.153865121,-0.662652017,-0.448825235,1,1,2,3
35202686,469,-1.235541026,-0.846511967,-0.507210931,-0.079350202,1,1,2,3
