TotalPop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3
27904,0.6007783820323969,0.07320438667287844,-0.5643390218320671,0.12848305287747275,3.7486381880733943,2.4592173165137616,2.06239248853211,3.3176963876146788,K1Z
23028,0.5194510490874588,-0.6544658309291732,0.16327082786876856,-0.3102797976997134,3.571043946499913,1.9672138266458226,3.070566267153031,2.8730241445197153,K2A
47847,0.31273433651487037,-0.4695334974157836,-0.5251835583119109,0.4690887454904592,3.196041549104437,2.163374924237674,2.1930528559784315,4.0482997889104855,K2C
49508,-0.2553869575607174,-0.43438871525226225,-0.409536360813505,0.3868537040297123,2.71826775470631,2.356972610487194,2.457784600468611,3.878544881635291,K2G
20480,0.5863216423821289,-0.14479475611718753,0.2943837333917479,0.48850214537817377,3.71513671875,2.876708984375,3.445849609375,3.59375,K2E
56118,0.294829557865658,0.2497263617419366,-0.30037536487772193,0.8439771671201214,3.5135607113582097,2.9010834313411027,2.4547025909690294,3.884511208524894,K1V
40379,0.09357476468812997,-0.31978694262864366,-0.19853609117585877,0.39730355430659503,3.3903761856410513,2.3045394883479036,2.71599098541321,3.5916194061269473,K2H
32621,1.2447210778425861,0.7296472780774347,0.21466336915772036,0.8054848480861715,4.533030869685172,3.814536648171423,2.894178596609546,3.6781214555041233,K2B
71367,-0.5146830744038982,-0.8219401543588352,-0.9605408528898932,0.5327181803095687,2.183992601622599,1.5250185660038953,1.4289237322572057,4.200498829991453,K2J
52276,-0.2800527648665927,-0.39783402264038953,-0.9569757590307023,0.9441172191370609,2.564618563011707,2.29897084704262,1.4364718035044763,4.766030300711607,K1T
17705,0.2731205968125952,-0.2858656637289466,0.33009362231669015,0.0924635354528664,3.196780570460322,2.4835357243716465,3.5797232420220277,3.324710533747529,K1H
35677,0.6752537436816155,0.25462072013067244,-0.05422969439151279,0.6008138762136109,3.6642935224374247,3.1670263755360595,2.748577514925582,3.961403705468509,K1G
10706,-0.5545463351240426,-0.9869075550630488,-0.9207593809000559,0.2134361570341864,2.1444984121053614,1.1857836727068933,1.409490005604334,3.6971791518774517,K1W
2883,-0.04284086534339229,-1.153320589037114,-0.8850309246392647,0.4060342176142907,3.6163718348942075,1.0,1.575442247658689,3.6163718348942075,K1X
59300,-0.4243161049836593,-0.3319561516357337,0.518435369276442,-0.9183432226799494,2.4739797639123102,2.5093591905564923,3.849831365935919,1.3332546374367622,K0H
135311,-0.3935862635197512,-0.14657783113864356,0.6122689383031831,-0.8724330894764885,2.5334525648321273,2.8942658024846466,4.0075973128570475,1.4676781636378418,K0K
97545,-0.3570633920672615,-0.008696681797908666,0.8668089069437386,-0.9240954411383159,2.6516479573530165,3.164436926546722,4.3855451330155315,1.3615562048285408,K0L
40579,-0.3762743951891619,0.05583242198055647,0.7572943827605905,-1.0054851843430597,2.6025284013898813,3.3417284802484044,4.283521033046649,1.2198920623968061,K0J
58898,-0.2889301610873036,-0.057215235866548926,1.1680122927135896,-0.9957191817229614,2.8413188902848994,3.1822642534551258,4.486519066861353,1.1944717987028421,K0M
35970,-0.5226753842869057,-0.8384528550033638,-0.3105675308606617,0.25383745216991943,2.1026688907422852,1.462274117319989,2.2277731442869055,3.6855157075340563,K2K
19085,-0.3561824258326958,-0.4989786157276395,-0.22572256558171333,-0.23817755954356817,2.6465810846214306,2.1282158763426775,2.6548598375687713,3.073722818967776,K2L
29999,-0.5590937787161905,-0.9732205498886966,-0.7849761354309478,0.15524427209400307,2.1660722024067467,1.3125770859028634,1.7007233574452483,3.6070535684522818,K2M
16393,2.9448048901798933,-0.7816841860779602,-0.492380080927286,-0.2754514000311719,4.803452693222717,1.8166290489843226,2.1629964009028244,2.954492771304825,K2P
1386,-0.4594562260634921,-1.0320876519047617,-0.1459521690873016,-0.2488819298253968,2.4523809523809526,1.0,3.0317460317460316,3.0,K2R
35014,-0.6691522505335293,-1.0680698870059404,-0.6137308098757926,-0.18781709653073056,1.8712229393956703,1.1740446678471468,1.7905980464956874,3.1378020220483234,K2S
11086,-0.15598086955303986,-1.158013126038156,-0.13611058392513056,0.8566032215658489,2.432347104456071,1.0746887966804979,1.9250405917373263,4.342053039870106,K2T
11984,-0.1489966028668224,-1.2450278659193925,-1.0593327881559578,0.3967026573287717,3.2669392523364484,1.0,1.1922563417890522,4.027536715620828,K2V
10860,-1.0660334347581952,-0.8507352778362799,-0.9041514574393187,0.4592487322812155,1.409852670349908,1.156353591160221,1.4549723756906077,3.9253222836095762,K2W
57250,-0.5789734491513537,-0.8188551874622704,-0.9250964416824103,0.19473436874024444,2.0620786026200872,1.5472139737991266,1.5180786026200874,3.7469344978165937,K4A
19421,-0.42801413077338957,-0.9300378568199886,-0.9477706204126978,0.22277068993388596,2.4691828433139387,1.310849080891818,1.5570773904536326,3.5116626332320684,K4B
5840,-0.6400098326226027,-0.7989081952075343,-0.18450163841643838,-0.6257983191645549,1.8818493150684932,1.2972602739726027,2.896404109589041,2.102054794520548,K4C
17027,-0.2843842033251894,-0.47664138709925413,-0.22268061035502437,-0.5607554178668587,2.7311329065601693,2.2188289187760617,2.485405532389734,2.136665296294121,K4K
14507,-0.5687073442724891,-0.9843056197179293,-0.10832958496008811,-0.33451751113869166,2.13290135796512,1.2958571723995314,2.9391328324257255,2.5408423519680152,K4M
10992,-0.840858186845524,-0.9833922272259824,-0.4511165684940867,-0.44243337987681947,1.374363173216885,1.2029657933042213,2.129457787481805,2.5882459970887917,K4P
11481,-0.6769877817697065,-0.6258236442071248,-0.5483268588306768,-0.6411885582556398,1.8460064454315825,2.021078303283686,1.943733124292309,2.200156780768226,K4R
15976,0.31659206361611164,0.7300910843958438,0.9402416049487982,-0.8661057273646093,3.6802078117175765,3.8404481722583874,4.485728592889334,1.5013144717075613,K6A
39071,0.36051370873850164,0.8317556139038932,0.711643993879834,-0.5880622217443116,3.6976273962785697,3.844437050497812,4.132195234317012,2.148882803102045,K6H
19497,0.518634285560907,0.9614529105271069,0.8990318382732216,-0.6031284647441657,3.8962404472482945,4.110068215622916,4.249422988152023,2.1639739447094426,K6J
4159,-0.4090773890779034,-0.038753215007453705,0.4080510613051215,-0.7903184749345997,2.7011300793459965,3.299110363068045,4.315941332050974,1.5888434719884588,K6K
2950,-0.627188893000339,-0.2721122901301695,0.22353588040135597,-0.8550329013552541,2.028813559322034,2.982033898305085,3.902033898305085,1.5345762711864406,K6T
35068,0.22270948393994508,0.25952100271925976,0.7458652516093878,-0.7488845928801757,3.3850804151933387,3.3436181133797196,4.304636705828676,1.7614064104026463,K6V
23899,-0.15153426349483237,0.19648722084944978,0.45294457484354994,-0.8240643361313027,2.9320055232436504,3.1969956901962426,3.7611197121218463,1.439767354282606,K7A
23771,-0.3131980607899541,-0.474042723524715,-0.06803870508973117,-0.7546639951105548,2.6897059442177444,2.206470068570948,2.983341045812124,1.7122964957300912,K7C
13694,-0.0999857744915292,-0.29898125658638824,0.6404010509358113,-0.900809168514751,3.120344676500657,2.6340002920987295,4.229443551920549,1.2757412005257778,K7G
