Pop2006,Instability_DA06,Deprivation_DA06,Dependency_DA06,Ethniccon_DA06,Instability_q_DA06,Deprivation_q_DA06,Dependency_q_DA06,Ethniccon_q_DA06,PCODE3
556,0.28440893940909096,0.9125532535454546,0.4590739108636363,-0.7553831495454546,4,4,4,2,K7A
629,-0.40573198036666663,0.0022524310666666753,0.7904300976666667,-0.9159956783333334,3,3,4,1,K0H
641,-0.12714691233333333,0.05149292300000001,0.08053275173333335,-0.5100171584,3,3,3,2,K7N
600,1.4092738997727272,-0.34647187168181814,0.11266158286363635,-0.26202134325,4,3,3,3,K7L
664,0.4155194659069768,-0.10739325990697673,0.32848668377906975,-0.4006193535348836,4,3,4,3,K7M
524,0.2048370563529412,-0.06676505782352941,0.7238811643529411,-0.8502586238235293,4,3,4,1,K7G
833,-0.11549322309375004,-0.545065659625,-0.05070708212499999,-0.42781508812499996,3,2,3,3,K7P
601,0.4206557532352941,0.6261332263529411,0.9752202324705882,-0.9315023519999999,4,4,5,1,K7V
694,-0.4706105201666666,-0.5153340826666667,-0.05636309941666667,0.1418937623333333,2,2,3,3,L0H
667,-0.3369958053170732,0.10986294034146342,0.955291124365854,-0.9635985742926829,3,3,4,1,K0L
562,-0.4491019998076923,-0.13614235565384616,0.34053980515384613,-0.8855561173653848,2,3,4,1,K0K
656,0.3832554807755102,0.29454442808163267,0.4963355065714285,-0.6199480506122448,4,3,4,2,K8N
524,0.13486502413043477,0.35312623491304346,0.7050843299565217,-0.7848968496521742,3,4,4,2,K7R
566,0.18427117891304354,0.3819724961521739,0.2041242472391304,-0.6092697122826088,3,4,4,2,K8V
598,0.7235735186750001,0.7882625467500002,0.41459805805000016,-0.46954760395,4,4,4,2,K8P
570,-0.5558101115,-0.6109163744999999,0.48920625575,-0.76813127125,2,2,4,2,K8R
604,0.5519107135888889,0.4525340033999998,0.38051906831111115,-0.5252163159555555,4,4,4,2,K9J
732,-0.30021507119230767,0.035177145115384605,1.1193693536153846,-1.0058830869615385,3,3,5,1,K0M
642,0.16636583624489798,0.362283017122449,0.8515846577755104,-0.689348444857143,3,4,4,2,K9V
511,-0.17399976727777777,0.318128218,1.2969350315555557,-1.114317566888889,3,4,5,1,P0P
488,0.6419118412666667,-1.0860869448000001,0.4687042705333333,-0.22839308160000002,4,1,4,3,K1M
561,1.9070818465614032,0.05467169287719299,-0.2745450265087719,0.2117809218947369,4,3,2,3,K1N
736,1.543257037,-0.827765776111111,-0.18208124799999997,-0.24497555711111113,4,2,3,3,K1P
563,2.2943378785675677,-0.18106044351351352,-0.6191390735405408,0.02121756051351352,5,3,2,3,K1R
603,0.12857871353125,-0.4524657429062499,0.43727400387500004,-0.08219372634375,3,2,4,3,K1H
575,0.6730766240370369,-0.8520947215555554,-0.411697831,-0.24057051877777785,4,2,2,3,K1S
614,1.056117841148148,1.1384903346851847,0.024626462333333272,0.3837712071481481,4,4,3,4,K1K
594,1.8649472215142855,0.864203054257143,0.04408183597142855,-0.00890917171428571,5,4,3,3,K1L
572,0.9261934200249998,-0.7929083018,-0.35763189860000005,-0.42113554774999995,4,2,2,3,K1Y
615,0.24317895251428578,-0.24223064982857143,0.3127143388285714,0.2710028642571429,3,3,4,3,K2E
762,-0.6776403637424242,-0.7863020597878786,-0.7531071598939394,0.014543175151515148,2,2,2,3,K4A
542,-0.41751097744117655,-0.6573689615588236,0.07609427326470589,-0.47354197838235285,2,2,3,2,K1E
623,0.16156126557777775,-0.05152036024444451,0.3392107365999999,0.4044219528444444,3,3,4,4,K1J
2573,0.16229502739999999,-0.47616620579999996,-0.5432623524,0.12798694620000003,3,2,2,3,K1X
958,-0.13806387747368423,0.0525880439736842,-0.6290163816315789,0.7922332343684212,3,3,2,4,K1T
715,0.9102218335681816,0.27075795781818185,-0.35950996081818176,0.035368116386363654,4,3,2,3,K1Z
683,0.233952034027027,-0.5004255953783783,0.09708668186486488,-0.29460572321621614,3,2,3,3,K2A
606,-0.2825250359883721,-0.42832563159302306,-0.2848944615581395,0.2679087934534884,3,2,3,4,K2G
777,0.9064478140454544,0.47791934722727275,0.22254074422727269,0.344397844,4,3,3,3,K2B
1044,-1.0605375710714284,-0.8254105909285715,-0.889634863,0.41690149721428577,1,1,2,4,K2W
1232,-0.23232201666666663,-1.1081787167777777,-0.13113914588888884,0.5202678982222222,3,1,2,4,K2T
633,1.258081580351852,0.7567235192407404,-0.18841554346296302,-0.24913691177777791,4,4,3,3,K7K
624,0.08324311339024387,0.2499474803658537,0.3903118950731707,-0.8510860208292682,3,3,4,1,K8A
562,-0.39211332233333335,-0.5735274223333333,0.4853720756666666,-0.8990871703333333,2,2,4,1,K8B
883,0.008646995470588233,-0.6916622465882354,-1.048732017,-0.5920103617647059,3,2,2,2,K8H
567,0.23373952942500006,0.01413371302500003,1.03906929795,-0.7830220286500001,4,3,4,2,K9A
636,0.9701000912,0.5645886556800002,0.4922667536400001,-0.4987524092,4,4,4,2,K9H
749,-0.12811886552173912,-0.5911076259999999,0.41138807695652163,-0.4322042299130435,3,2,4,3,K9K
