Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3
1.912086598,2.561449674,2.463847856,2.150230249,P3P
2.469965599,2.227838052,3.052130193,1.647790421,P3Y
3.395317562,3.755761355,2.756464332,1.706675225,P4N
2.288877705,2.912934071,1.779567187,2.462757927,P4P
2.037703646,2.36943367,1.689216447,1.723972071,P4R
4.103528536,4.836793595,5,1.21161903,P5A
3.338349766,3.658709566,4.533471718,1.410482615,P5E
3.426703815,3.800364338,4.207029576,1.292434634,P5N
3.158028018,3.006807146,3.950584299,1.833538554,P6A
3.744151097,3.386677498,4.461616572,2.037408611,P6B
3.28237085,3.849395871,3.806250595,1.686947008,P6C
3.690533041,3.444372741,3.936370676,1.518101446,P7A
3.594179553,3.45514748,3.692618843,2.327820733,P7B
3.505641692,3.292718565,3.507468139,2.015829207,P7C
3.965859453,3.721894398,3.806192045,1.637290214,P7E
1.922561526,1.800412318,3.057853369,2.078598119,P7G
1.54072327,1.669339623,2.897798742,1.919968553,P7J
1.907543742,1.68084903,3.419160532,1.492781337,P7K
2,2.991240876,3.722141119,1.258394161,P7L
3.557843007,3.517200159,3.930402444,1.437906761,P8N
3.513867188,3.702148438,1.3453125,1.893359375,P8T
3.364238411,3.519289393,3.578156207,1.431830127,P9A
3.398505444,3.379243703,3.377633189,1.382980094,P9N
5,1,1,4,M5X
5,1,1,4,M5L
5,1,1,4,M5K
4,1,5,3,M7Y
4,1,5,4,M7R
