Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3
3.258239027,3.349562827,4.354972658,1.86314589,K9V
2.085999747,2.257282577,3.225749336,1.821044644,L0A
2.156683975,2.220595339,3.073904118,1.886094675,L0B
2.090076787,2.13920063,2.897420752,1.80616263,L0C
2.83479021,2.923951049,2.905918156,1.963804714,L0E
2.076659395,2.022402271,2.632838198,2.397614349,L0G
1.293464919,2.501743016,1.917562724,4.559336181,L0H
1.524169252,2.114483565,1.463644948,3.804982238,L0J
2.776666898,3.051999584,3.800700028,1.26758733,L0K
2.29298653,2.188666976,2.860226041,2.046431336,L0L
2.463597409,2.420728247,2.618012483,1.918233579,L0M
2.201556114,2.175752204,2.528093761,2.046190969,L0N
1.779728988,1.51243193,2.610663177,2.38781713,L0P
1.929641077,1.876444725,2.470006312,2.421783514,L0R
2.564030147,2.187877826,3.878175327,1.802887743,L0S
3.05681298,2.715477341,3.914399064,1.488327145,L1A
2.464053203,2.090374519,3.278893945,2.333846692,L1B
2.354152056,2.447258184,2.082586197,2.72136399,L1C
1.969423403,1.967209713,1.992528795,2.941475563,L1E
3.879043164,3.812867182,3.476622254,2.616290155,L1G
3.267425371,3.461092463,2.815864582,3.042057836,L1H
3.736818397,4.13678236,2.991148449,2.830649339,L1J
1.856422879,2.510947023,2.069432724,3.756188467,L1K
2.552529183,1.445102352,1.346472678,4.781424463,L1L
1.187794929,1.375509878,1.391066144,3.811285292,L1M
2.931066071,2.621550441,2.871998931,3.190656132,L1N
1.864772784,2.545067388,1.650383286,4.140989028,L1P
1.610759717,2.125537868,1.583860425,4.221778081,L1R
2.754826873,3.049623451,2.220596079,3.784438803,L1S
1.427092069,2.787331552,1.482965072,4.71928935,L1T
2.186138085,2.574999166,2.067507592,4.182700971,L1V
3.061813913,2.750748459,3.119812151,3.418080423,L1W
1.689300143,2.255397715,1.527694513,4.551674704,L1X
2.965753425,2.076276463,2.971980075,2.832503113,L1Y
1.335357803,2.431674148,1.027000264,4.817566675,L1Z
3.320730466,3.806297863,4.475124511,1.984308895,L2A
3.454293231,3.238005262,3.42068883,2.892465917,L2E
3.784769891,4.087681331,3.573090319,2.695127312,L2G
2.652276759,2.49319929,2.792463368,3.335600237,L2H
3.180003826,3.132308869,4.300133903,2.275457502,L2J
3.518734879,3.512804626,3.992830589,2.497787219,L2M
3.516629297,2.788926258,4.371543348,2.317607125,L2N
3.844103085,4.144026914,3.122445093,2.942617748,L2P
3.740322466,3.240594739,3.003219926,2.658616853,L2R
3.149980465,3.208536824,2.837126392,3.152617699,L2S
3.809710551,3.192623716,4.078244631,3.055555556,L2T
3.430919116,3.389700765,2.988169798,2.746962154,L2V
2.791717791,2.549386503,2.634969325,3.541104294,L2W
3.338293409,3.456335073,3.994023516,2.109991706,L3B
3.284934636,3.207450184,3.906936159,2.416106105,L3C
3.265188834,3.58456486,4.466676326,1.425432242,L3K
2.490590906,1.871677528,3.126565131,2.286483122,L3M
1.725315108,2.211857907,2.597176907,4.593433389,L3P
2.469321123,2.820895717,3.278158617,4.883879444,L3R
1.129716134,3.894610133,2.776122889,5,L3S
3.182541218,2.102117037,3.532490905,4.489995356,L3T
3.635657251,3.518910449,3.747359835,1.962372285,L3V
1.748153465,1.955775776,1.273912339,4.349510292,L3X
2.705771828,2.426266808,2.315189948,3.52834537,L3Y
2.099387237,2.50981916,1.701927963,3.628545808,L3Z
2.018722682,1.519364168,2.168808576,3.87074608,L4A
2.545824302,2.053223087,3.023868775,4.964865805,L4B
3.097817611,2.480608916,2.892066735,4.670587718,L4C
1.318214832,1.622897554,1.220279052,4.737079511,L4E
2.356086121,1.714676165,1.857487965,3.836151717,L4G
1.144245482,2.408075211,1.300897399,4.499166012,L4H
2.173883849,1.665002787,2.696561597,4.454669842,L4J
2.079668793,2.376021036,2.315206445,4.564674947,L4K
1.592799204,2.316386736,2.687694117,3.902803325,L4L
3.047673294,2.867185793,2.230283075,2.840126713,L4M
2.738497888,2.923861882,1.941805734,3.193587096,L4N
2.720897484,3.157372637,1.958755789,2.689823507,L4P
3.478607099,3.633733747,3.942772304,1.830656409,L4R
1.642741357,2.043687385,2.067391247,4.938428423,L4S
3.346659735,4.660670652,2.618429945,4.991551859,L4T
4,5,2,5,L4V
2.873701984,2.719164204,3.431532292,3.789953567,L4W
3.952470231,3.960324297,2.536306055,4.472865467,L4X
3.261841499,3.458886881,3.160520069,3.835334963,L4Y
2.863300718,2.880469667,1.947136334,4.787919113,L4Z
3.763720606,3.688828751,2.955040285,4.495868955,L5A
4.01470791,2.877663894,2.517335417,4.8227084,L5B
