PCODE3,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,2016_weightedAverage_q_within_2SD.in1SD_Instability_q_DA16,2016_weightedAverage_q_within_2SD.in1SD_Deprivation_q_DA16,2016_weightedAverage_q_within_2SD.in1SD_Dependency_q_DA16,2016_weightedAverage_q_within_2SD.in1SD_Ethniccon_q_DA16
L6R,1.183799646,3.584182702,1.580912166,5,0.974683544,0.911392405,0.949367089,1
L6S,2.265563016,3.44062441,2.258865553,4.540536827,0.987654321,0.950617284,0.950617284,0.925925926
L6T,3.054151258,4.023245418,2.054577966,4.829316861,1,0.958333333,0.916666667,0.9375
L6V,3.02397553,4.191017048,1.875309253,4.647744141,1,1,0.953846154,0.938461538
L6W,3.277060032,3.509837937,3.065099292,4.140561516,1,1,1,1
L6X,1.814779992,3.061431423,1.496817774,4.763358116,0.930555556,0.944444444,0.944444444,0.902777778
L6Y,2.425031062,3.222774438,1.895440859,4.825861625,0.912087912,0.934065934,0.934065934,0.89010989
L6Z,1.769817379,2.990051891,1.850864367,4.425188498,0.963636364,1,0.909090909,1
L7A,1.405136539,2.830267661,1.143840339,4.92620226,0.946666667,0.946666667,0.973333333,0.88
L7B,1.849581825,1.264760954,2.098864062,3.134315316,0.952380952,0.952380952,0.952380952,0.952380952
L7C,1.901827768,1.655817223,2.116274165,3.480949033,0.96969697,0.909090909,0.939393939,0.909090909
L7E,1.45962664,2.080080996,1.894427339,3.026379296,0.944444444,0.981481481,0.981481481,0.962962963
L7G,2.073986533,1.829443661,2.127316424,2.804973484,0.9375,0.9,0.925,1
L7J,2.144656893,1.988628129,2.244439489,2.330508947,0.933333333,0.966666667,0.966666667,1
L7K,1.824440796,1.494664478,2.507079828,2.284732198,1,0.888888889,1,1
L7L,2.556597559,1.521333075,2.698721178,3.209843054,1,0.914285714,1,1
L7M,2.044719817,1.379864928,2.024966029,3.393696635,0.930555556,0.972222222,0.930555556,0.944444444
L7N,3.152189417,1.936100414,3.580587648,2.630865782,1,0.954545455,1,1
L7P,2.421612229,1.967720084,2.855358878,2.718640474,0.964912281,0.98245614,1,0.912280702
L7R,4.071715065,2.396652227,2.886624953,2.642440772,0.967741935,1,1,1
L7S,4.292803769,2.550925926,3.745126706,2.893762183,0.894736842,1,1,1
L7T,3.682172687,2.018087284,3.440677029,2.572487416,1,0.958333333,0.916666667,0.916666667
L8B,2.213749959,1.399757623,2.001997969,2.584094854,0.954545455,0.954545455,0.909090909,1
L8E,2.736563726,3.118507324,2.970482853,3.518975309,1,1,1,0.981481481
L8G,3.107791701,3.27394528,4.215930278,2.427351169,1,1,0.928571429,1
L8H,3.978279207,4.68234219,3.029558555,2.564705469,0.981818182,0.945454545,1,0.963636364
L8J,2.074536664,2.535697019,1.975302176,3.433521354,0.971428571,1,0.914285714,0.942857143
L8K,3.731420162,3.944492434,3.322295806,2.593339092,0.966101695,0.966101695,1,0.949152542
L8L,4.32203339,4.917723226,2.482690406,3.51997722,0.930555556,0.958333333,0.930555556,0.958333333
L8M,4.623185411,4.765562845,2.110244356,3.28310172,0.945945946,0.945945946,0.945945946,0.945945946
L8N,3.446604348,2.964485518,2.253098223,3.317257985,1,1,0.9375,1
L8P,4.637713501,3.146081881,2.910308128,3.2626384,0.9,1,1,1
L8R,4.786904864,4.530729122,2.95247457,3.935379092,1,0.894736842,1,1
L8S,4.391062912,3.346116156,3.055726138,3.770366499,0.875,1,1,0.916666667
L8T,3.233563691,3.648813971,3.608283526,2.62201158,1,0.95,0.925,0.95
L8V,3.875566603,4.186869425,3.601160014,2.768582151,0.948717949,0.923076923,0.974358974,1
L8W,2.255369748,3.504246725,2.186214186,3.992563512,1,0.930232558,0.930232558,0.976744186
L9A,3.464942138,3.855934936,3.475188994,3.428612375,0.958333333,0.979166667,0.979166667,0.9375
L9B,2.300134067,2.5202512,2.344764324,3.583403895,0.944444444,1,1,0.888888889
L9C,2.924715396,3.470889793,3.412789718,3.56935185,1,1,1,0.972222222
L9E,2.760421014,1.295173181,1.446561877,4.19534474,1,0.866666667,0.866666667,0.8
L9G,1.928602716,1.537167298,2.791218984,3.176161398,0.962264151,0.981132075,1,1
