TotalPop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3,2016_standard_derivation.SD_Instability_DA16,2016_standard_derivation.SD_Deprivation_DA16,2016_standard_derivation.SD_Dependency_DA16,2016_standard_derivation.SD_Ethniccon_DA16,2016_standard_derivation.SD_Instability_q_DA16,2016_standard_derivation.SD_Deprivation_q_DA16,2016_standard_derivation.SD_Dependency_q_DA16,2016_standard_derivation.SD_Ethniccon_q_DA16,2016_standard_derivation.PCODE3,2016_standard_derivation.count
5911,-0.45737849,-0.80127929,-0.882855141,1.044071435,2.552529183,1.445102352,1.346472678,4.781424463,L1L,0.449552595,0.455864032,0.623093458,0.891859259,1.169045194,1.211060142,1.211060142,0.836660027,L1L,6
25006,-1.10470916,-0.865652583,-1.040162757,0.172032219,1.187794929,1.375509878,1.391066144,3.811285292,L1M,0.480812492,0.239887138,0.639971441,0.401181778,0.824360293,0.625617974,1.025481791,0.715421524,L1M,31
52398,-0.021645577,-0.222755977,-0.103318048,-0.111544913,2.931066071,2.621550441,2.871998931,3.190656132,L1N,0.961647638,0.781816908,0.863222785,0.456161896,1.44269681,1.345878806,1.3506742,0.973459182,L1N,88
19959,-0.623500982,-0.233228035,-0.737112491,0.490056104,1.864772784,2.545067388,1.650383286,4.140989028,L1P,0.783066122,0.600078272,0.8869419,0.650688275,1.063219066,1.154129893,1.063219066,1.057628042,L1P,23
42529,-0.770417064,-0.526443737,-0.740468241,0.519718038,1.610759717,2.125537868,1.583860425,4.221778081,L1R,0.469123832,0.514271391,0.650220593,0.456004175,1.019545823,1.054290672,1.023532631,0.560276516,L1R,57
46873,-0.17164154,-0.029379029,-0.391855689,0.444554569,2.754826873,3.049623451,2.220596079,3.784438803,L1S,0.795537558,0.863710253,0.999483545,0.815974479,1.350488947,1.234801052,1.434782107,1.191675847,L1S,73
51277,-0.900732284,-0.236784846,-0.833665389,1.194907125,1.427092069,2.787331552,1.482965072,4.71928935,L1T,0.470044529,0.531208804,0.400674359,0.602354483,0.754627077,1.124454861,0.825905717,0.522288053,L1T,80
59934,-0.469786004,-0.325416436,-0.380074268,0.560462733,2.186138085,2.574999166,2.067507592,4.182700971,L1V,0.631252324,0.558081358,1.036274906,0.585575057,1.216401585,1.176846823,1.163301433,0.798287755,L1V,84
17035,-0.14190393,-0.272923735,-0.064873256,-0.076089593,3.061813913,2.750748459,3.119812151,3.418080423,L1W,0.458147089,0.468350484,0.428118255,0.32884354,1.081642611,1.032716061,0.818505186,0.830454799,L1W,29
23019,-0.716655838,-0.466833736,-0.750310092,0.968559374,1.689300143,2.255397715,1.527694513,4.551674704,L1X,0.164580377,0.530748562,0.337534448,0.672026473,0.576203594,1.065947178,0.799305254,0.63724772,L1X,28
3212,-0.229013409,-0.602158027,-0.050848841,-0.406839227,2.965753425,2.076276463,2.971980075,2.832503113,L1Y,0.429062002,0.352767846,0.826962752,0.316642716,1,0.951189731,1.732050808,0.975900073,L1Y,7
30296,-0.90456148,-0.402608767,-1.155970479,1.460090761,1.335357803,2.431674148,1.027000264,4.817566675,L1Z,0.305274021,0.417200659,0.2802928,0.652611136,0.589592272,0.966091783,0.300792604,0.46291005,L1Z,21
18673,0.027354344,0.420349108,0.627018183,-0.624673582,3.320730466,3.806297863,4.475124511,1.984308895,L2A,0.625567149,0.77831792,0.495203857,0.361021786,1.15309891,1.080900909,0.712078964,0.892960823,L2A,32
41810,0.169364373,0.211417217,0.254376422,-0.263748378,3.454293231,3.238005262,3.42068883,2.892465917,L2E,0.912202622,1.11553655,1.494433743,0.522922265,1.069284422,1.363521539,1.285230608,1.189431185,L2E,63
29573,0.334232726,0.712972303,0.227600708,-0.360554718,3.784769891,4.087681331,3.573090319,2.695127312,L2G,0.715400882,0.933438302,0.630364749,0.474456811,0.988826465,1.055688455,1.111616047,1.062681951,L2G,55
30438,-0.384472963,-0.36096751,-0.076804646,-0.072518043,2.652276759,2.49319929,2.792463368,3.335600237,L2H,0.678063921,0.67772825,1.904077186,0.535629413,1.058030997,1.181029491,1.457661546,1.028991511,L2H,34
15683,-0.068938329,-0.12205913,0.662184453,-0.577959054,3.180003826,3.132308869,4.300133903,2.275457502,L2J,0.722561218,0.508932746,0.83633019,0.319311557,1.066567456,1.004618962,0.862965234,0.917207633,L2J,28
33894,0.254912377,0.315002047,0.539129547,-0.386250151,3.518734879,3.512804626,3.992830589,2.497787219,L2M,0.813364514,0.88511826,0.899450164,0.469811217,1.317518139,1.300042712,1.108712671,1.09467245,L2M,62
32112,0.243780578,-0.192200675,0.98962772,-0.511404913,3.516629297,2.788926258,4.371543348,2.317607125,L2N,0.734478759,0.698863996,0.857603551,0.357242743,1.227594445,1.353102912,0.935367654,1.044937214,L2N,54
15754,0.406230237,0.582702883,0.001511003,-0.254190293,3.844103085,4.144026914,3.122445093,2.942617748,L2P,0.72493883,0.695763891,0.634606333,0.31700082,1.090871211,0.6244998,1.051982256,0.763762616,L2P,25
42237,0.517467569,0.234292822,0.00679678,-0.337795489,3.740322466,3.240594739,3.003219926,2.658616853,L2R,1.114509024,1.082734348,0.801799559,0.471389198,1.301353483,1.511253608,1.258898421,1.050717288,L2R,69
20476,0.070149173,0.275252261,0.026117053,-0.061333551,3.149980465,3.208536824,2.837126392,3.152617699,L2S,1.032059487,1.123119387,0.907560943,0.463810763,1.446631237,1.63504957,1.402402892,0.87988269,L2S,32
10710,0.52061276,-0.025254169,0.701648521,-0.217164818,3.809710551,3.192623716,4.078244631,3.055555556,L2T,0.764708564,0.673969714,0.719709518,0.37972403,1.097578408,1.302269724,0.942809042,0.764719113,L2T,19
18681,0.070314924,0.161092422,-0.063411183,-0.318532065,3.430919116,3.389700765,2.988169798,2.746962154,L2V,0.764036989,0.793100982,0.804207696,0.453886674,1.059519063,1.403528579,1.352019596,1.025481791,L2V,31
3260,-0.144123272,-0.108921782,-0.065609785,0.229733213,2.791717791,2.549386503,2.634969325,3.541104294,L2W,0.868622715,1.077745174,0.949816163,0.852844669,2.061552813,1.707825128,1.732050808,1.290994449,L2W,4
40994,0.084606458,0.417265765,0.403607306,-0.62108856,3.338293409,3.456335073,3.994023516,2.109991706,L3B,0.788058823,1.236308172,0.57535195,0.361695312,1.179960886,1.389688969,0.927688558,0.933325008,L3B,66
31516,0.023233961,0.008770541,0.454874154,-0.512068114,3.284934636,3.207450184,3.906936159,2.416106105,L3C,0.693937635,0.680838502,0.83034341,0.311723081,1.005865153,1.143095213,1.081756016,0.886942313,L3C,51
20706,0.031943474,0.322487298,0.784248369,-0.859633699,3.265188834,3.58456486,4.466676326,1.425432242,L3K,0.654674792,1.005957007,0.843116488,0.250868261,1.059775034,1.295638329,0.690997451,0.688821076,L3K,37
27314,-0.381213541,-0.703271455,0.061697891,-0.556432068,2.490590906,1.871677528,3.126565131,2.286483122,L3M,0.68925494,0.579550722,0.82203349,0.223540057,1.23270765,1.264590955,1.310190517,0.790462718,L3M,39
87351,-0.657392771,-0.521899002,-0.233704996,1.270129627,1.725315108,2.211857907,2.597176907,4.593433389,L3P,0.581028916,0.390724698,0.71196424,0.755665472,1.021039922,0.92024282,1.161235751,0.760037932,L3P,75
76877,-0.177873678,-0.142540916,0.148584356,1.715566164,2.469321123,2.820895717,3.278158617,4.883879444,L3R,0.689663184,0.759372695,0.92764868,0.772316423,1.156068783,1.327675439,1.009216785,0.457300512,L3R,82
55660,-1.058716116,0.371338577,-0.206805023,2.013136257,1.129716134,3.894610133,2.776122889,5,L3S,0.265731562,0.511056291,0.334987652,0.516251257,0.523520844,0.855562115,0.866511253,0,L3S,55
51676,0.178478496,-0.605476161,0.21283728,1.155771762,3.182541218,2.102117037,3.532490905,4.489995356,L3T,0.794959741,0.492545409,0.645898278,0.819469114,1.365815563,1.034946865,1.106688104,0.734213429,L3T,68
46588,0.200491314,0.312025257,0.4944416,-0.646385563,3.635657251,3.518910449,3.747359835,1.962372285,L3V,0.743275381,0.951445799,1.018305669,0.310780757,1.009813395,1.37330688,1.146299302,0.886447361,L3V,88
