"PCODE3","instability_DA06","deprivation_DA06","dependency_DA06","ethniccon_DA06","DAPop_2006","instability_q_DA06","deprivation_q_DA06","dependency_q_DA06","Ethniccon_q_DA06"
"M2L","-0.372490963503499931804556354916","-0.803586300354694406062649880096","-0.200657670902109963907374100719","1.071990081773059181182553956835","13344","2","2","2","2"
"M2M","0.358900128792628137513366384757","-0.301813377569469229889504552672","0.280592739742831246910339911215","1.978279755318201061987621917631","30861","3","3","2","3"
"M2N","0.924710266373090485618750917484","-0.684207559014533719808510985337","-0.136624118622481472910991860901","2.098491444712952326221272570096","61309","3","2","2","3"
"M2P","-0.111521854977739673053545586107","-1.018428602046739959913169319826","-0.113707742094985672584659913169","0.935352189248209407235890014472","6910","2","2","2","2"
"M2R","0.727298069183482293544310752156","0.090642982440545691299379154991","0.177348381715317623033899236306","2.039609675427480832951486182078","36402","3","3","2","3"
"M3A","0.454124996863573245811391648402","0.071564939603730514003017278187","-0.272811455428589448464319262190","2.118334165334964567754974239276","35131","3","3","1","3"
"M3B","-0.087395859439863017331895001798","-0.808597655309963828579647608774","0.551215519296485087781373606616","1.022519054263408910945702984538","13905","2","2","2","2"
"M3C","0.812802445707478940554839402729","0.326897542066078348300837898808","-0.003137470802151040791169835643","2.671972904749128225668707702224","37236","3","3","2","4"
"M3H","0.234357449929305368544715705260","-0.228348952667064299299660306676","0.104470379940385554760468586304","0.953874952650102344622686434490","31499","2","3","2","2"
"M3J","0.553825347943386105165456012914","0.713654814142036445334947538337","-0.193915502470125032370863599677","2.477677886476164971694915254237","24780","3","4","2","4"
"M3K","0.242023384966128034415461973602","0.635135465690163881678189817725","0.497462038944495401587052168448","1.007614239840160584688874921433","6364","2","4","2","2"
"M3L","-0.066829947054090682046320372498","1.271834882546378506742456310093","0.508566907410099192417004293403","1.504930430252088101965289955857","16537","2","5","2","3"
"M3M","0.388935453750448163898201048208","0.813385229477642735190518910241","0.128225781500404468492374521932","1.577829386198824939468341281458","21179","3","4","2","3"
"M3N","0.203952287225616170019424835363","1.992448613211370637205666366608","-0.309534118221192028971431278723","2.940810720175973143187094328896","42214","2","5","1","4"
"M4A","0.928336436639210326017214397496","0.416399682866137087926447574335","0.358341947476206610766823161189","1.700881250865963959233176838811","12780","3","4","2","3"
"M4B","0.467756752397165725806852807661","0.306851013523447805714818730178","-0.036338519104049823106771966917","1.237589839723879807319196567378","16081","3","3","2","3"
"M4C","0.626151176586590549027296033781","0.366525104461238803688303854191","-0.322419753747940142990283732253","1.336495968160821772616498265722","46417","3","4","1","3"
"M4E","0.548637470015225064478828031768","-0.520529621674746257102176865150","-0.727098150865722884037693922061","-0.086624717744211323978437101354","24301","3","2","1","1"
"M4G","0.110377617182247732722106053295","-1.046220829983611758082676532089","-0.132036504061012096466677389952","-0.093752026737379354892499061713","18651","2","2","2","1"
"M4H","0.914878811798732121201002874090","0.725017183288358405430196294258","-0.146235193633327790069100470862","4.690595274255404001100715465052","16353","3","4","2","5"
"M4J","0.485040710677901859869044466025","0.324838753476246599223242400165","-0.169170785654882673411023807422","0.558576794667677629130984962185","33981","3","3","2","2"
"M4K","0.964020243450655182211128313691","-0.212653090603923472994407406237","-0.470801300145843649103952731524","0.453474451965005504113874056052","31649","3","3","1","2"
